insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (1, '22', '32', 'Goodyera tesselata Lodd.', 62.92, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (2, '50', '9', 'Eupatorium album L.', 176.12, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (3, '36', '71', 'Ipomoea microdactyla Gris', 61.16, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (4, '66', '59', 'Beta vulgaris L.', 117.61, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (5, '91', '86', 'Triphysaria versicolor', 172.7, '2023/12/29');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (6, '64', '92', 'Polymeridium albidum', 252.1, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (7, '6', '55', 'Trypethelium', 250.25, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (8, '32', '52', 'Malacothamnus aboriginum', 280.49, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (9, '30', '61', 'Luisierella barbula', 146.62, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (10, '23', '87', 'Lobelia boykinii Torr.', 139.38, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (11, '3', '39', 'Bromus secalinus L.', 148.19, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (12, '13', '22', 'Houstonia rosea (Raf.)', 52.89, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (13, '81', '2', 'Carex superata Naczi', 215.16, '2024/12/02');
insert into Compras (idCompra, idPlayer, idGame, cosa, precio, fechaCompra) values (14, '62', '8', 'Eucalyptus orbifolia', 271.12, '2024/12/02');
